https://uwaterloo.ca/

IP Address: 129.97.208.23
Geolocation: CA (Canada), ON, Ontario, N2L Waterloo

PING 129.97.208.23 (129.97.208.23) 56(84) bytes of data.
64 bytes from 129.97.208.23: icmp_seq=1 ttl=243 time=4.33 ms
64 bytes from 129.97.208.23: icmp_seq=2 ttl=243 time=3.79 ms
64 bytes from 129.97.208.23: icmp_seq=3 ttl=243 time=3.80 ms
64 bytes from 129.97.208.23: icmp_seq=4 ttl=243 time=3.69 ms
64 bytes from 129.97.208.23: icmp_seq=5 ttl=243 time=3.81 ms
64 bytes from 129.97.208.23: icmp_seq=6 ttl=243 time=3.62 ms
64 bytes from 129.97.208.23: icmp_seq=7 ttl=243 time=3.77 ms
64 bytes from 129.97.208.23: icmp_seq=8 ttl=243 time=3.73 ms
64 bytes from 129.97.208.23: icmp_seq=9 ttl=243 time=3.73 ms
